country_name,continent,date,population,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,stringency_index,new_cases_ma7,new_cases_ma14,new_deaths_ma7,wow_growth_pct,cfr_pct,country_id
Argentina,South America,2020-08-20,45510324,331713.0,0.0,13354.0,0.0,,,,87.96,0.0,2255.1428571428573,0.0,-100.0,4.025769264394221,1
Argentina,South America,2020-08-28,45510324,382896.0,0.0,15231.0,0.0,,,,87.96,0.0,2255.1428571428573,0.0,-100.0,3.9778425473235552,1
Argentina,South America,2020-09-02,45510324,451875.0,0.0,17491.0,0.0,,,,87.96,0.0,2255.1428571428573,0.0,-100.0,3.8707607192254496,1
Argentina,South America,2020-09-12,45510324,524195.0,0.0,19815.0,0.0,,,,87.96,0.0,2255.1428571428573,0.0,-100.0,3.7800818397733664,1
Argentina,South America,2020-09-13,45510324,602353.0,78158.0,22261.0,2446.0,,,,87.96,11165.42857142857,7837.857142857143,349.42857142857144,147.55479538831878,3.6956734672193883,1
Argentina,South America,2020-09-14,45510324,602353.0,0.0,22261.0,0.0,,,,87.96,11165.42857142857,7837.857142857143,349.42857142857144,147.55479538831878,3.6956734672193883,1
Argentina,South America,2020-09-15,45510324,602353.0,0.0,22261.0,0.0,,,,87.96,11165.42857142857,5582.714285714285,349.42857142857144,,3.6956734672193883,1
Argentina,South America,2020-09-17,45510324,602353.0,0.0,22261.0,0.0,,,,87.96,11165.42857142857,5582.714285714285,349.42857142857144,,3.6956734672193883,1
Argentina,South America,2020-09-18,45510324,602353.0,0.0,22261.0,0.0,,,,87.96,11165.42857142857,5582.714285714285,349.42857142857144,,3.6956734672193883,1
Argentina,South America,2020-09-20,45510324,677683.0,75330.0,24601.0,2340.0,,,,87.96,21926.85714285714,10963.42857142857,683.7142857142857,,3.630163365467335,1
Argentina,South America,2020-09-26,45510324,677683.0,0.0,24601.0,0.0,,,,87.96,21926.85714285714,10963.42857142857,683.7142857142857,,3.630163365467335,1
Argentina,South America,2020-10-05,45510324,846449.0,0.0,29580.0,0.0,,,,87.96,10761.42857142857,10963.42857142857,334.2857142857143,-3.6183116251695284,3.494599202078329,1
Argentina,South America,2020-10-09,45510324,846449.0,0.0,29580.0,0.0,,,,87.96,10761.42857142857,10963.42857142857,334.2857142857143,-3.6183116251695284,3.494599202078329,1
Argentina,South America,2020-10-10,45510324,846449.0,0.0,29580.0,0.0,,,,82.87,10761.42857142857,10963.42857142857,334.2857142857143,-3.6183116251695284,3.494599202078329,1
Argentina,South America,2020-10-12,45510324,942666.0,0.0,32182.0,0.0,,,,82.87,10761.42857142857,10963.42857142857,334.2857142857143,-3.6183116251695284,3.413934521877314,1
Argentina,South America,2020-10-28,45510324,1136236.0,0.0,36979.0,0.0,,,,81.94,10761.42857142857,10963.42857142857,334.2857142857143,-3.6183116251695284,3.2545175474109254,1
